Player,Salary,Points,Rebounds,Assists
Thomas Bryant,1378242,9,5.4,0.9
Thon Maker,2799720,4.8,2.8,0.5
Tim Duncan,1881250,0,0,0
Tim Frazier,1621415,4.8,2.8,4.2
Tim Hardaway,17325000,19.5,3.4,2.7
Timofey Mozgov,16000000,0,0,0
Timothe Luwawu-Cabarrot,1544951,1.8,0.9,0.2
Tobias Harris,14800000,21,8,2.4
Tomas Satoransky,3129187,7.2,2.8,3.5
Tony Bradley,1679520,0,3,0
Tony Parker,5000000,9.5,1.5,3.9
Tony Snell,10607143,6.3,2.1,0.8
Torrey Craig,2000000,6,4.1,1
Trae Young,5356440,16,3.1,7.2
Treveon Graham,1512601,4.6,2.7,0.8
Trevor Ariza,15000000,11.5,5.7,3.8
Trey Burke,1795015,11.1,2,2.8
Trey Lyles,3364249,9.3,4.3,1.4
Tristan Thompson,17469565,11.5,11.1,2.1
Troy Brown,2749080,2.5,1.3,1
Troy Daniels,3258539,6.1,1.1,0.4
Troy Williams,122741,5.7,3.1,0.6
Tyler Dorsey,1378242,3.5,1.8,0.7
Tyler Johnson,19245370,11.2,2.9,2.4
Tyler Lydon,1874640,1.2,0.8,0.2
Tyreke Evans,12400000,10.9,2.7,2.3
Tyrone Wallace,1349383,4,1.7,0.6
Tyson Chandler,13585000,3.8,6.5,0.8
Tyus Jones,2444053,5.4,1.7,4
Udonis Haslem,2393887,1.3,1.7,0
Victor Oladipo,21000000,19.2,5.7,5.3
Vince Carter,2393887,6.9,2.7,1
Wade Baldwin,1544951,2,0.7,0.8
Wayne Ellington,6270000,7.9,1.9,1.3
Wayne Selden,1544951,5.1,1.4,1.2
Wendell Carter,4441200,10.3,7,1.8
Wesley Iwundu,1378242,4.7,2.1,0.8
Wesley Johnson,6134520,3.8,2.3,0.7
Wesley Matthews,18622514,13.4,2.4,2.4
Will Barton,11830358,10.3,4,2.7
Willie Cauley-Stein,4696875,13.4,8.9,2.7
Willy Hernangomez,1544951,7.7,5.7,1
Wilson Chandler,12800562,6.5,4.5,1.9
Yogi Ferrell,3000000,5.7,1.4,1.7
Zach Collins,3628920,7.3,4.2,1
Zach LaVine,19500000,22.8,4.3,4.3
Zach Randolph,11692308,0,0,0
Zaza Pachulia,2393887,4.5,4.7,1.6
Zhaire Smith,2611800,0,0,0
